Frequency,M,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source
630000,AM,Radio Timisoara,0000,2000,Romanian,Ortisoara,Romania,1234567,,400,,SRR,Aoki
630000,AM,RTV.TUNISIA,0000,2400,Arabic,Tunis-Djedeida,Tunisia,1234567,,300,,RTT,Aoki
630000,AM,SRR Antena Satelor,0350,2000,Romanian,Voine?ti,Romania,1234567,,50,,SRR,Aoki
630000,,Radio Temeswar,1000,1100,D,,Romania,,Romania,,,Romania,EiBi
639000,AM,Cesky rozhlas 2,0300,2300,Czech,Liblice,Czech Republic,1234567,,750,,Cesky Rozhlas,Aoki
639000,AM,RNE Radio Nacional,0000,2400,Spanish,Mesondo Bento,Spain,1234567,,300,,RNE1,Aoki
639000,AM,VO ISLAMIC REP.IRAN,0420,0520,Kurdish,Bonab,Iran,1234567,,100,,IRIB b25,Aoki
639000,AM,VO ISLAMIC REP.IRAN,1320,1420,Kurdish,Bonab,Iran,1234567,,100,,IRIB b25,Aoki
639000,AM,VO ISLAMIC REP.IRAN,1820,1920,Turkish,Bonab,Iran,1234567,,100,,IRIB a26,Aoki
639000,AM,NHK AM Oita,0000,2400,Japanese,Oita,Japan,1234567,,5,,JOIP,Aoki
639000,AM,STV Radio,0000,2400,Japanese,Hakodate,Japan,1234567,,5,,JOWN,Aoki
639000,AM,Myanmar Thazin Radio,0130,0200,English,Naypyidaw,MMR,1234567,,400,356,MRMS,Aoki
639000,AM,Myanmar Thazin Radio,0430,0700,English,Naypyidaw,MMR,1234567,,400,356,MRMS,Aoki
639000,AM,Myanmar Thazin Radio,0930,1500,Burmese/dialect,Naypyidaw,MMR,1234567,,400,356,MRMS,Aoki
639000,AM,Myanmar Thazin Radio,2330,0130,Burmese,Naypyidaw,MMR,1234567,,400,356,MRMS,Aoki
639000,,BBC,0600,0700,E,,Cyprus relay,,Middle East,,,United Kingdom,EiBi
639000,,BBC,0700,0730,A,,Cyprus relay,,Middle East,,,United Kingdom,EiBi
639000,,BBC,1300,1400,A,,Cyprus relay,,Middle East,,,United Kingdom,EiBi
639000,,BBC,1400,1430,A,,Cyprus relay,Mo-Fr,Middle East,,,United Kingdom,EiBi
639000,,BBC,1400,1430,E,,Cyprus relay,SaSu,Middle East,,,United Kingdom,EiBi
639000,,BBC,1430,1500,E,,Cyprus relay,,Middle East,,,United Kingdom,EiBi
639000,,BBC,1500,1530,A,,Cyprus relay,,Middle East,,,United Kingdom,EiBi
639000,,BBC,1530,1700,E,,Cyprus relay,,Middle East,,,United Kingdom,EiBi
639000,,BBC,1700,1730,A,,Cyprus relay,,Middle East,,,United Kingdom,EiBi
639000,,BBC,1730,1800,E,,Cyprus relay,,Middle East,,,United Kingdom,EiBi
639000,,BBC,1800,1900,A,,Cyprus relay,,Middle East,,,United Kingdom,EiBi
639000,,BBC,1900,1930,A,,Cyprus relay,Mo-Fr,Middle East,,,United Kingdom,EiBi
639000,,BBC,1900,1930,E,,Cyprus relay,SaSu,Middle East,,,United Kingdom,EiBi
639000,,IRIB Voice of I.R.Iran,0420,0520,KU,,Iran,,Middle East,,,Iran,EiBi
639000,,IRIB Voice of I.R.Iran,1320,1420,KU,,Iran,,Middle East,,,Iran,EiBi
639000,,IRIB Voice of I.R.Iran,1420,1620,KU,,Iran,,Middle East,,,Iran,EiBi
639000,,IRIB Voice of I.R.Iran,1820,1920,TU,,Iran,,Middle East,,,Iran,EiBi
640000,AM,KFI,0000,2400,English (HD Radio),"Los Angeles, California",USA,1234567,,50,,More Stimulating Talk Radio,Aoki
648000,AM,AFN Okinawa,0000,2400,English,Okinawa,Japan,1234567,,10,,,Aoki
648000,AM,NHK AM Toyama,0000,2400,Japanese,Toyama,Japan,1234567,,5,,JOIG,Aoki
648000,AM,Radio Caroline,0000,2400,English,Orfordness,United Kingdom,1234567,,4,,,Aoki
648000,AM,Radio Murski Val,0000,2400,Slovenian,Cerklje,Slovenia,1234567,,10,,,Aoki
657000,AM,South korean Jamming,0000,2400,Jamming,Seoul area,South Korea,1234567,,,,,Aoki
